Student,Subject1,Subject2,Subject3,Subject4,Subject5,Subject6,Subject7,Subject8
S733,1,1,1,1,1,1,1,1
S734,2,1,1,1,2,2,1,1
S735,1,1,1,1,2,3,2,1
S736,1,1,1,1,1,3,1,2
S737,2,1,3,1,1,1,1,1
S738,1,1,1,1,1,1,1,1
S739,3,2,1,1,1,2,2,1
S740,1,1,3,3,2,2,2,2
S741,3,2,1,1,1,3,4,3
S742,3,2,3,4,1,5,5,4
S743,2,4,1,3,1,1,2,1
S744,3,3,4,2,4,4,5,4
S745,1,1,1,1,1,1,1,1
S746,1,3,3,2,1,1,3,3
S747,1,2,1,2,1,2,1,1
S748,2,3,2,3,1,3,2,3
S749,1,1,2,2,1,2,2,1
S750,4,3,3,3,2,2,2,1
S751,1,1,1,1,2,1,1,2
S752,2,3,3,1,4,3,1,4
S753,1,1,2,1,2,1,1,2
S754,2,3,2,1,3,3,1,4
S755,2,3,3,3,1,5,2,1
S756,1,1,1,1,1,2,1,1
S757,2,2,2,2,3,2,2,3
S758,4,3,2,4,1,2,2,5
S759,1,3,1,3,2,1,2,1
S760,1,3,1,2,2,1,2,1
S761,2,1,2,2,1,3,3,3
S762,2,2,1,1,1,1,1,2
S763,1,3,2,1,1,2,3,3
S764,1,1,2,4,1,1,3,1
S765,1,1,2,1,1,1,2,2
S766,3,3,1,1,2,1,3,2
S767,1,4,4,2,1,1,2,1
S768,4,2,3,1,3,3,3,3
S769,2,2,2,4,1,1,1,1
S770,1,1,1,1,2,1,1,1
S771,2,1,1,4,2,2,2,2
S772,2,3,1,2,3,1,4,1
S773,2,1,4,1,3,2,1,3
S774,5,2,3,1,2,2,4,1
S775,1,2,3,4,5,1,4,2
S776,1,1,1,4,1,1,1,2
S777,1,1,1,2,2,1,1,1
S778,1,1,2,2,4,4,1,2
S779,2,1,1,1,2,4,1,2
S780,3,1,1,2,2,2,5,1
S781,1,1,1,1,1,3,1,1
S782,1,1,1,1,1,3,1,1
S783,3,1,3,2,2,4,2,3
S784,3,1,2,1,2,3,1,1
S785,1,1,1,2,1,1,2,2
S786,1,1,1,3,1,1,2,5
S787,2,1,1,1,2,2,1,1
S788,2,1,2,1,1,1,1,1
S789,1,1,2,1,2,1,1,1
S790,4,2,1,5,5,2,4,2
S791,2,3,1,3,1,1,5,2
S792,1,1,2,1,2,1,1,1
S793,3,1,2,5,3,1,1,2
S794,2,3,1,3,1,1,1,1
S795,4,3,3,1,3,3,3,2
S796,3,2,3,2,2,2,2,3
S797,1,3,1,1,1,1,1,3
S798,4,4,5,1,1,3,1,1
S799,2,1,1,1,2,1,2,2
S800,2,2,4,1,2,3,2,1
S801,1,2,1,2,1,2,3,3
S802,3,3,4,3,2,4,2,2
S803,3,4,4,5,2,2,2,2
S804,2,3,1,1,2,2,4,3
S805,1,2,1,1,2,1,1,1
S806,2,1,3,2,2,1,1,1
S807,4,4,2,3,1,3,3,2
S808,2,2,1,3,3,1,2,2
S809,1,2,2,3,3,1,2,2
S810,4,3,3,4,2,2,3,1
S811,1,1,3,2,4,1,1,1
S812,4,2,1,1,2,2,2,2
S813,1,2,1,1,1,1,1,1
S814,5,3,5,1,1,4,1,1
S815,2,1,3,3,4,3,5,3
S816,2,1,2,2,1,2,1,1
S817,4,5,4,1,1,3,2,2
S818,2,2,2,1,3,1,3,2
S819,1,1,1,1,1,3,1,1
S820,2,1,1,1,3,2,3,2
S821,2,1,1,3,1,2,1,1
S822,2,1,2,2,1,4,1,1
S823,3,1,1,2,2,2,3,2
S824,2,1,1,3,2,3,1,3
S825,1,4,4,3,1,1,1,1
S826,2,5,3,1,2,3,2,3
S827,2,1,2,1,1,1,1,1
S828,1,1,1,1,1,1,2,1
S829,2,2,1,1,3,3,3,3
S830,1,3,1,1,1,3,3,1
S831,3,2,1,2,3,1,4,5
S832,2,2,3,1,1,1,2,3
S833,1,2,2,1,1,4,3,3
S834,3,2,1,1,1,1,2,2
S835,2,1,1,1,1,1,1,1
S836,3,3,1,1,1,1,1,1
S837,2,1,1,1,1,1,1,1
S838,2,3,3,3,4,3,1,1
S839,4,5,4,1,1,2,3,1
S840,1,1,2,1,1,1,1,1
S841,2,1,3,1,1,2,1,1
S842,2,3,4,1,3,3,4,2
S843,1,1,2,1,1,1,1,1
S844,3,3,4,3,2,4,3,4
S845,1,2,1,1,5,1,2,2
S846,1,2,2,3,2,3,2,3
S847,1,1,1,1,1,1,2,1
S848,3,1,3,2,2,2,1,3
S849,2,3,2,2,2,3,2,3
S850,1,3,2,1,1,4,3,4
S851,4,3,2,1,1,2,1,2
S852,1,1,1,3,1,1,1,2
S853,1,2,1,1,1,1,1,3
S854,3,1,1,2,2,2,3,1
S855,4,2,5,2,2,4,1,1
S856,1,2,1,1,1,1,2,1
S857,2,1,2,1,2,1,1,1
S858,4,1,2,3,1,1,3,1
S859,1,1,1,1,3,3,1,1
S860,1,2,3,1,2,2,2,1
S861,2,3,3,4,5,2,1,2
S862,1,1,1,1,3,2,3,3
S863,2,1,2,1,1,1,1,1
S864,1,1,2,1,1,1,1,1
S865,1,1,1,3,2,2,1,1
S866,1,1,1,2,1,1,1,1
S867,1,1,1,2,2,1,2,2
S868,2,1,1,3,2,1,1,2
S869,1,1,1,3,3,1,1,1
S870,2,1,2,1,1,2,1,1
S871,2,1,3,2,4,3,1,1
S872,1,1,3,2,2,1,1,2
S873,2,1,1,4,1,3,1,1
S874,1,1,1,2,3,1,1,4
S875,1,1,1,1,1,2,1,1
S876,5,3,2,2,3,3,1,2
S877,1,1,1,1,1,1,1,1
S878,1,1,1,1,1,3,3,2
S879,1,1,1,3,2,2,4,2
S880,2,1,1,2,2,1,1,2
S881,1,2,1,1,1,2,1,1
S882,3,2,3,4,5,4,2,3
S883,3,2,4,1,1,3,4,1
S884,3,2,1,3,3,1,5,3
S885,1,3,1,1,2,4,2,2
S886,1,2,3,1,2,2,1,4
S887,2,1,1,2,1,1,1,2
S888,2,2,1,1,1,1,3,2
S889,1,2,2,1,3,1,4,2
S890,4,3,3,3,3,2,3,3
S891,1,1,1,2,1,1,1,1
S892,1,2,2,1,2,4,3,1
S893,2,2,2,2,3,1,3,2
S894,1,2,1,1,1,1,1,1
S895,3,5,2,3,4,5,5,5
S896,1,1,3,1,2,1,1,1
S897,1,1,2,1,1,3,1,1
S898,3,3,1,3,4,4,5,2
S899,4,3,3,2,3,2,2,1
S900,3,3,4,1,3,3,3,4
S901,1,2,1,1,1,1,1,1
S902,1,1,1,1,2,1,1,1
S903,4,4,4,2,3,1,2,2
S904,1,2,4,3,1,3,1,2
S905,2,2,4,2,1,2,3,1
S906,1,5,3,2,1,3,1,3
S907,3,2,1,4,2,2,1,1
S908,3,3,1,3,1,1,1,2
S909,1,1,1,1,1,2,2,1
S910,1,1,1,1,1,2,2,1
S911,1,1,1,1,1,1,1,1
S912,2,1,3,2,1,3,1,1
S913,1,2,2,3,3,1,3,3
S914,3,4,3,3,3,2,3,4
S915,1,1,1,3,1,3,2,2
S916,1,1,1,1,1,1,1,1
S917,3,1,2,3,1,1,3,1
S918,3,3,1,2,3,3,1,1
S919,2,2,2,1,3,2,2,2
S920,2,1,2,1,1,3,1,2
S921,4,3,2,2,2,1,3,2
S922,3,4,1,4,1,3,1,3
S923,1,1,3,1,2,2,3,2
S924,2,2,1,1,1,1,1,1
S925,1,1,3,1,1,2,1,1
S926,1,2,1,1,1,2,3,1
S927,1,1,1,3,2,2,2,2
S928,1,3,1,1,1,2,1,2
S929,2,2,3,1,3,4,1,2
S930,2,1,1,1,3,1,3,1
S931,1,1,1,1,1,1,4,1
S932,1,1,1,3,1,1,1,3
S933,1,3,2,3,3,2,1,2
S934,3,3,3,3,3,1,2,2
S935,3,2,1,1,1,3,1,3
S936,1,1,1,1,1,1,1,1
S937,1,2,2,2,3,2,2,1
S938,3,2,1,3,3,3,3,2
S939,1,2,2,1,3,2,1,1
S940,1,1,2,1,1,1,3,1
S941,1,1,1,2,2,5,3,2
S942,1,1,1,2,2,4,4,3
S943,2,1,1,1,2,2,1,2
S944,1,2,1,4,2,1,1,2
S945,1,2,3,1,1,1,4,2
S946,1,1,1,1,2,3,3,4
S947,1,3,1,1,1,1,2,2
S948,2,2,1,3,1,1,1,3
S949,3,2,2,1,1,2,1,2
S950,1,1,3,3,2,3,2,1
S951,2,2,2,1,2,2,1,2
S952,1,2,2,1,4,1,1,1
S953,1,1,2,1,1,3,1,1
S954,5,4,3,1,2,3,3,3
S955,2,1,3,3,2,3,1,1
S956,2,1,2,1,1,1,2,1
S957,2,2,1,3,5,3,1,3
S958,2,1,2,1,1,2,3,2
S959,2,2,2,2,1,3,2,3
S960,4,1,2,2,1,2,1,1
S961,1,1,1,1,1,1,1,1
S962,2,1,1,1,1,1,1,2
S963,2,2,3,2,5,3,1,2
S964,2,1,2,3,1,1,1,1
S965,3,2,1,1,2,4,1,2
S966,2,2,3,1,3,4,1,1
S967,1,1,1,1,1,2,1,2
S968,1,1,3,1,3,2,1,1
S969,1,3,1,1,2,1,2,1
S970,1,3,4,3,4,1,1,2
S971,1,1,1,1,2,1,2,1
S972,2,2,1,1,1,1,1,2
S973,1,1,3,1,3,2,1,2
S974,2,3,1,2,1,1,1,1
S975,3,2,3,1,1,4,1,1
S976,2,1,2,1,1,3,1,2
S977,1,1,1,2,1,1,2,1
S978,4,1,2,3,3,4,3,4
S979,1,2,2,3,1,2,3,3
S980,1,2,3,1,2,2,4,1
S981,1,2,2,1,3,1,1,1
S982,4,2,2,2,1,3,1,1
S983,1,2,4,1,2,1,1,3
S984,1,2,1,2,2,1,1,2
S985,1,3,1,1,1,2,1,1
S986,3,2,4,1,3,2,3,1
S987,2,2,1,1,3,3,1,1
S988,3,2,2,4,2,3,5,1
S989,4,4,2,2,5,4,5,3
S990,1,2,1,1,2,1,1,1
S991,1,2,2,2,3,3,2,1
S992,3,3,3,1,2,3,5,1
S993,3,1,2,2,1,2,2,1
S994,3,3,2,2,4,1,2,1
S995,1,1,2,1,2,1,1,1
S996,2,1,1,1,2,1,1,1
S997,1,1,3,3,2,2,1,4
S998,1,1,1,1,2,1,2,1
S999,4,2,3,2,1,3,4,4
S1000,1,1,2,2,1,2,1,3
S1001,2,2,2,3,1,1,4,3
S1002,2,1,1,1,2,1,1,1
S1003,1,3,2,1,1,2,3,1
S1004,3,2,1,1,2,2,1,1
S1005,1,1,1,1,1,1,3,2
S1006,3,4,4,4,5,5,5,3
S1007,1,3,1,1,1,1,1,1
S1008,2,2,1,1,3,2,1,2
S1009,1,1,2,3,1,1,1,3
S1010,1,1,2,2,1,1,1,1
S1011,2,1,1,2,1,1,5,2
S1012,2,4,4,3,3,3,4,3
S1013,1,1,3,3,3,2,2,2
S1014,2,2,2,3,1,1,1,4
S1015,3,4,3,2,3,3,1,2
S1016,2,2,1,1,1,3,2,3
S1017,3,4,3,1,2,1,2,1
S1018,1,1,1,2,1,2,2,1
S1019,1,2,1,1,1,1,1,1
S1020,1,2,1,1,1,2,2,2
S1021,1,2,1,1,1,1,1,1
S1022,4,3,4,1,3,1,2,3
S1023,1,1,2,1,2,1,1,1
S1024,2,2,2,1,1,2,2,2
S1025,1,2,2,1,3,3,1,3
S1026,2,2,3,3,1,2,2,2
S1027,1,1,2,1,2,1,1,2
S1028,1,2,2,1,1,1,1,2
S1029,3,2,3,2,1,2,1,1
S1030,1,3,1,4,3,2,3,2
S1031,1,1,1,1,1,1,1,1
S1032,1,1,1,1,1,1,1,2
S1033,2,3,4,2,3,1,2,4
S1034,1,3,4,3,1,1,1,1
S1035,4,3,2,1,2,4,2,2
S1036,3,2,1,4,3,2,1,1
S1037,3,1,3,1,1,2,2,1
S1038,3,3,4,3,4,2,3,3
S1039,3,3,2,1,1,1,2,1
S1040,4,4,4,1,4,4,4,5
S1041,2,2,1,4,2,2,3,2
S1042,2,1,2,1,1,1,1,1
S1043,1,1,2,2,2,2,2,1
S1044,4,4,3,3,4,4,4,3
S1045,2,1,1,3,1,1,1,2
S1046,2,1,1,1,1,1,1,1
S1047,1,1,1,1,1,1,1,1
S1048,2,2,1,1,3,3,1,1
S1049,3,4,3,3,3,1,2,2
S1050,3,1,2,2,1,1,3,2
S1051,5,2,4,3,2,3,2,2
S1052,1,3,2,1,1,2,2,3
S1053,1,2,1,2,2,1,1,1
S1054,2,2,1,1,1,1,2,1
S1055,5,4,5,2,2,3,3,3
S1056,1,1,5,2,1,3,3,1
S1057,2,1,1,1,1,1,2,3
S1058,1,3,3,1,2,3,1,1
S1059,3,3,2,1,4,2,5,3
S1060,1,2,3,1,1,1,1,1
S1061,3,5,5,2,3,4,1,4
S1062,3,2,2,1,2,2,1,1
S1063,3,2,2,1,5,3,3,2
S1064,1,2,3,1,1,3,2,1
S1065,1,1,2,2,1,2,1,1
S1066,2,3,3,2,3,3,3,3
S1067,2,1,4,1,2,2,1,1
S1068,3,3,4,1,3,5,4,4
S1069,1,1,1,1,3,1,4,1
S1070,1,1,1,1,1,1,1,3
S1071,4,4,1,2,2,4,4,4
S1072,2,1,1,1,2,3,1,1
S1073,1,1,1,3,2,1,1,3
S1074,4,2,2,1,2,2,2,2
S1075,2,4,3,1,4,3,3,2
S1076,2,1,4,1,3,2,3,2
S1077,2,2,2,2,2,2,1,3
S1078,1,1,1,1,1,1,1,1
S1079,2,3,2,3,2,1,2,2
S1080,4,1,2,1,3,4,1,2
S1081,2,1,3,1,1,1,1,2
S1082,1,2,1,3,1,1,1,1
S1083,2,2,3,1,2,4,4,2
S1084,2,1,3,4,2,2,1,2
S1085,1,2,1,2,1,2,1,2
S1086,4,4,2,1,3,4,4,4
S1087,1,1,1,2,1,1,2,2
S1088,2,3,4,2,2,4,1,2
S1089,1,2,1,1,1,1,1,2
S1090,2,2,3,2,2,4,1,2
S1091,2,1,1,2,2,2,1,1
S1092,3,1,1,1,1,1,2,1
S1093,1,1,1,1,2,3,1,1
S1094,2,2,1,2,3,2,3,3
S1095,1,3,1,1,1,2,1,1
S1096,4,4,1,3,1,2,3,3
S1097,2,1,1,1,1,2,1,2
S1098,4,4,2,2,3,5,2,5
S1099,1,1,1,2,3,1,1,1
S1100,1,1,1,1,1,1,1,1
S1101,2,4,2,2,2,3,3,3
S1102,2,3,2,1,3,2,1,1
S1103,2,1,1,2,2,1,1,2
S1104,2,3,1,3,1,1,1,1
S1105,2,2,1,2,2,1,1,1
S1106,3,2,4,3,2,1,3,3
S1107,2,1,1,1,1,2,1,2
S1108,1,2,1,1,2,1,2,1
S1109,2,2,2,1,1,1,3,1
S1110,1,1,2,1,1,1,1,1
S1111,1,1,1,2,2,1,2,1
S1112,1,1,1,2,1,2,1,1
S1113,1,2,1,2,3,2,4,5
S1114,4,1,1,4,1,3,3,4
S1115,2,1,2,3,3,3,3,1
S1116,1,1,1,2,1,1,2,1
S1117,3,2,2,2,1,2,4,2
S1118,5,3,5,2,4,5,1,4
S1119,3,1,2,2,1,1,2,2
S1120,2,4,3,3,2,3,2,1
S1121,1,1,1,3,1,1,1,1
S1122,2,2,1,1,1,2,1,1
S1123,1,2,2,1,1,1,2,2
S1124,1,2,2,3,2,2,2,1
S1125,1,2,2,2,1,1,1,2
S1126,1,3,1,1,1,2,1,1
S1127,1,1,3,1,1,2,1,1
S1128,1,1,2,2,2,1,1,1
S1129,2,3,4,1,2,3,3,2
S1130,2,1,2,1,1,1,1,2
S1131,2,2,3,2,3,3,1,3
S1132,1,1,1,1,1,1,1,1
S1133,1,4,2,3,5,1,1,3
S1134,1,1,1,3,3,3,1,1
S1135,2,4,5,3,2,2,2,1
S1136,4,3,1,2,2,2,1,4
S1137,1,3,1,4,4,3,1,2
S1138,1,1,1,1,1,1,1,1
S1139,2,2,1,5,4,3,2,5
S1140,1,2,1,2,2,2,3,1
S1141,2,2,2,1,1,3,1,1
S1142,2,5,3,5,5,5,5,4
S1143,1,3,2,1,4,2,2,3
S1144,2,2,1,2,3,2,3,4
S1145,1,2,1,1,2,2,1,2
S1146,1,1,1,1,1,1,1,1
S1147,3,3,1,4,1,1,2,3
S1148,2,1,3,1,1,1,1,1
S1149,2,2,4,3,3,2,3,1
S1150,1,1,1,1,1,3,2,1
S1151,1,1,1,1,1,1,1,1
S1152,5,2,2,3,1,3,2,2
S1153,2,4,3,1,1,4,1,4
S1154,2,1,1,1,1,1,1,1
S1155,1,1,1,1,1,1,1,1
S1156,2,3,1,1,1,1,1,1
S1157,2,1,1,2,2,1,1,4
S1158,1,1,1,2,3,2,1,1
S1159,2,1,1,1,2,1,1,3
S1160,2,1,1,4,1,1,1,2
S1161,1,2,2,1,3,4,2,2
S1162,3,3,3,5,5,2,3,3
S1163,2,1,3,3,1,1,4,2
S1164,2,1,1,1,2,1,1,1
S1165,1,1,1,2,2,1,1,1
S1166,2,1,1,3,3,1,1,2
S1167,1,1,2,3,1,1,1,1
S1168,2,1,1,1,2,1,1,1
S1169,3,4,4,2,3,4,3,4
S1170,1,2,1,1,3,2,1,2
S1171,3,3,1,3,2,4,2,5
S1172,1,1,1,1,1,1,1,1
S1173,4,1,1,3,2,1,1,3
S1174,3,2,3,3,3,4,3,2
S1175,1,1,1,1,1,1,2,2
S1176,2,2,3,1,1,1,1,2
S1177,3,3,2,3,3,1,2,3
S1178,1,1,1,3,1,1,1,1
S1179,1,1,1,2,1,2,1,1
S1180,1,1,2,4,2,1,1,1
S1181,1,1,2,2,1,1,1,1
S1182,1,1,1,1,2,2,3,2
S1183,1,1,2,1,3,4,2,1
S1184,1,1,3,2,1,3,3,1
S1185,3,3,1,1,1,1,1,1
S1186,3,5,4,1,3,3,2,2
S1187,4,2,2,2,2,2,1,1
S1188,2,3,4,1,4,3,1,3
S1189,1,2,1,1,1,2,3,2
S1190,2,1,2,1,1,1,1,1
S1191,2,3,2,1,3,1,1,1
S1192,2,1,2,1,2,3,4,3
S1193,1,2,1,1,3,2,2,1
S1194,2,1,1,2,2,2,1,2
S1195,2,1,1,1,1,3,2,1
S1196,2,1,2,2,1,1,1,2
S1197,1,1,2,3,1,2,2,1
S1198,1,3,1,4,1,1,1,1
S1199,1,1,1,2,1,1,1,1
S1200,2,1,1,3,1,2,1,1
S1201,2,2,1,1,1,1,1,1
S1202,2,2,2,4,3,3,2,2
S1203,3,3,3,2,2,3,3,2
S1204,1,1,1,2,1,2,1,1
S1205,2,1,1,1,1,3,1,1
S1206,2,2,2,1,1,1,1,2
S1207,1,1,1,1,1,2,1,2
S1208,1,1,1,1,2,1,1,2
S1209,1,2,1,2,1,3,2,2
S1210,2,3,3,1,3,1,3,3
S1211,1,3,1,1,1,2,1,1
S1212,1,1,2,1,1,1,3,1
S1213,3,1,1,1,3,1,2,1
S1214,2,1,1,1,2,1,2,1
S1215,1,4,1,1,1,1,1,1
S1216,4,2,2,4,1,2,3,3
S1217,1,1,1,1,2,1,1,1
S1218,2,1,2,4,2,1,1,2
S1219,1,1,1,3,1,1,3,1
S1220,1,1,1,1,1,3,3,1
S1221,1,1,1,1,1,1,1,1
S1222,1,1,1,1,1,1,1,1
S1223,2,3,2,1,1,4,4,1
S1224,1,2,3,1,2,2,1,2
S1225,2,5,3,1,4,5,3,3
S1226,3,3,1,4,3,4,3,4
S1227,3,5,2,5,5,4,3,4
S1228,1,2,3,3,3,1,1,1
S1229,3,4,1,3,3,5,3,3
S1230,2,5,2,4,4,4,4,3
S1231,3,1,1,2,3,3,1,3
S1232,1,1,1,1,1,1,1,1
S1233,1,4,3,1,2,3,2,3
S1234,1,1,1,1,1,1,2,2
S1235,2,1,1,1,1,1,1,2
S1236,3,2,3,2,3,5,3,3
S1237,2,1,3,4,4,3,2,3
S1238,2,1,1,1,1,1,1,2
S1239,1,1,2,1,1,1,2,1
S1240,3,3,2,1,1,1,1,2
S1241,4,3,3,1,5,4,3,3
S1242,2,2,1,2,1,2,1,1
S1243,3,1,3,1,1,4,1,2
S1244,1,1,1,1,2,4,1,2
S1245,1,1,1,1,1,2,1,1
S1246,2,1,2,3,1,2,1,4
S1247,3,1,1,2,2,1,3,1
S1248,1,2,3,2,3,3,3,2
S1249,1,2,1,3,2,3,1,1
S1250,4,4,1,3,2,4,4,3
S1251,2,3,2,1,1,2,1,1
S1252,2,3,2,1,1,2,3,2
S1253,1,1,1,1,3,1,1,2
S1254,1,3,3,1,2,3,1,3
S1255,3,2,2,2,2,1,1,1
S1256,1,1,1,1,1,1,1,1
S1257,4,3,1,3,4,3,4,2
S1258,3,1,2,1,2,1,1,1
S1259,3,3,2,3,4,2,5,2
S1260,2,1,1,1,2,1,1,1
S1261,2,1,1,2,3,1,1,2
S1262,3,2,2,3,1,3,3,2
S1263,3,2,3,2,4,2,4,4
S1264,2,1,1,1,1,1,1,2
S1265,1,1,1,1,1,2,1,1
S1266,3,1,2,3,1,2,3,4
S1267,1,1,1,1,1,1,2,1
S1268,3,3,1,2,1,2,2,1
S1269,4,2,1,1,2,1,1,3
S1270,1,3,3,2,1,2,1,1
S1271,1,3,3,1,3,3,2,1
S1272,1,1,2,1,1,1,2,1
S1273,3,4,2,2,2,2,3,2
S1274,1,3,2,1,2,1,1,1
S1275,4,4,2,5,3,3,3,3
S1276,3,2,3,1,1,2,2,1
S1277,3,2,5,5,3,5,1,3
S1278,2,2,2,3,4,2,2,3
S1279,3,4,3,2,2,2,2,3
S1280,4,3,4,2,2,3,3,3
S1281,1,1,1,1,1,1,3,1
S1282,2,2,3,3,4,1,1,2
S1283,2,2,3,2,2,4,1,3
S1284,2,1,1,1,1,1,1,1
S1285,4,2,2,2,2,2,2,2
S1286,2,1,2,1,1,1,3,2
S1287,1,1,1,1,1,1,1,1
S1288,1,1,1,1,3,3,1,1
S1289,3,3,5,4,5,3,3,3
S1290,1,1,1,1,1,1,1,2
S1291,1,3,3,1,1,1,1,2
S1292,2,1,1,2,2,2,1,2
S1293,3,3,2,2,3,2,2,1
S1294,1,2,1,1,1,3,1,2
S1295,1,1,2,2,2,2,4,1
S1296,5,3,2,2,3,2,5,5
S1297,2,4,1,2,4,3,5,3
S1298,4,1,2,3,3,2,3,3
S1299,1,1,1,2,2,1,1,2
S1300,1,3,1,3,1,1,2,1
S1301,1,1,2,1,2,1,2,1
S1302,2,2,1,2,1,1,3,3
S1303,1,1,1,1,2,1,3,1
S1304,2,2,1,3,1,2,2,3
S1305,1,1,1,1,1,1,3,3
S1306,2,2,2,2,1,1,5,2
S1307,3,3,3,5,4,4,2,3
S1308,3,3,1,2,4,4,3,3
S1309,1,1,3,2,2,1,2,1
S1310,2,2,3,1,1,1,1,1
S1311,2,2,2,4,1,4,2,3
S1312,2,1,1,1,2,3,1,2
S1313,1,2,1,1,2,1,1,2
S1314,1,3,1,1,3,4,4,2
S1315,3,3,3,2,4,3,1,2
S1316,4,1,4,1,3,3,2,2
S1317,1,1,1,1,3,2,1,1
S1318,1,1,2,1,2,1,1,1
S1319,2,1,1,1,2,1,2,1
S1320,2,1,2,1,2,1,5,4
S1321,5,4,1,3,3,2,4,3
S1322,1,1,1,1,1,1,1,1
S1323,4,5,5,4,5,5,5,4
S1324,2,4,2,1,4,1,1,2
S1325,1,4,2,3,3,2,1,1
S1326,2,3,2,4,3,3,5,1
S1327,3,4,3,2,1,5,4,4
S1328,1,1,3,3,2,1,1,1
S1329,1,3,3,4,3,1,3,1
S1330,1,1,2,2,1,1,1,2
S1331,3,4,2,4,4,3,5,2
S1332,4,2,2,1,2,1,3,1
S1333,2,4,3,2,4,2,4,4
S1334,1,1,2,1,2,1,1,1
S1335,2,2,1,1,1,1,1,1
S1336,4,2,3,3,2,3,1,5
S1337,1,2,3,2,1,2,1,1
S1338,2,2,2,1,2,2,2,1
S1339,1,1,3,1,1,2,1,1
S1340,1,2,1,1,1,1,1,1
S1341,2,3,2,2,5,3,2,2
S1342,3,3,4,3,2,2,3,2
S1343,1,1,1,1,1,1,2,1
S1344,2,5,5,1,3,2,1,2
S1345,1,1,3,4,2,1,1,2
S1346,2,4,3,2,3,2,1,2
S1347,3,1,1,1,1,1,1,1
S1348,1,3,3,2,4,1,1,3
S1349,1,1,1,2,1,1,1,1
S1350,1,1,2,1,1,1,2,1
S1351,1,2,1,2,2,1,2,1
S1352,1,1,1,3,1,1,1,1
S1353,2,2,2,3,3,3,1,3
S1354,1,2,1,1,2,1,2,2
S1355,3,4,2,3,5,1,1,2
S1356,1,1,1,2,1,2,2,1
S1357,2,1,1,1,2,1,1,1
S1358,1,1,1,1,1,1,1,1
S1359,4,5,5,5,3,3,1,4
S1360,1,3,2,2,1,2,2,1
S1361,3,1,1,1,1,1,1,2
S1362,1,1,3,1,1,1,1,1
S1363,1,1,1,1,1,1,1,1
S1364,1,1,1,1,2,4,1,1
S1365,2,1,2,2,1,1,3,1
S1366,1,1,3,5,2,2,1,1
S1367,3,3,4,3,3,2,4,3
S1368,1,1,1,1,1,1,1,1
S1369,1,1,1,4,1,4,2,1
S1370,1,2,1,1,1,1,2,1
S1371,2,2,4,3,2,4,4,1
S1372,2,1,1,2,3,1,2,1
S1373,1,2,2,1,2,2,1,1
S1374,2,1,3,4,4,2,2,3
S1375,1,2,4,1,2,2,1,2
S1376,1,1,1,2,1,2,1,1
S1377,2,3,3,3,3,5,2,1
S1378,1,3,2,2,3,1,2,1
S1379,3,1,1,1,1,3,1,1
S1380,2,3,2,1,2,4,3,2
S1381,4,3,3,1,1,2,1,1
S1382,1,2,3,3,3,3,4,2
S1383,4,4,3,2,4,2,2,2
S1384,1,3,1,1,2,2,1,1
S1385,1,1,1,1,1,1,3,2
S1386,1,2,2,1,3,2,1,2
S1387,3,1,2,4,2,1,1,1
S1388,1,2,1,2,1,1,3,4
S1389,1,2,1,1,1,1,2,1
S1390,3,4,2,2,3,4,1,3
S1391,3,2,1,3,1,1,2,4
S1392,1,3,3,1,1,2,1,2
S1393,3,3,3,3,2,1,1,1
S1394,3,4,2,2,2,3,4,1
S1395,1,2,2,1,2,3,1,1
S1396,3,2,3,1,3,2,1,1
S1397,2,2,2,2,1,2,1,1
S1398,2,1,1,2,1,2,1,1
S1399,1,2,3,3,4,2,2,2
S1400,3,2,2,3,3,3,2,1
S1401,1,1,1,1,2,1,3,2
S1402,2,2,1,2,3,2,4,3
S1403,2,1,3,2,3,4,1,2
S1404,2,2,3,2,3,1,3,3
S1405,3,1,1,1,2,2,1,3
S1406,1,1,2,2,1,1,1,2
S1407,2,3,3,1,3,1,1,1
S1408,3,1,2,1,1,2,4,3
S1409,3,2,3,1,2,3,1,3
S1410,1,1,1,2,1,1,2,1
S1411,1,1,4,2,3,3,1,1
S1412,1,1,1,1,1,1,2,3
S1413,1,2,1,2,1,1,1,2
S1414,2,2,1,1,1,1,2,1
S1415,1,1,3,2,2,5,3,3
S1416,2,1,1,1,1,2,1,1
S1417,1,1,2,3,1,1,1,1
S1418,3,2,3,1,1,1,1,4
S1419,1,1,1,2,1,2,1,1
S1420,1,2,1,5,1,2,3,2
S1421,2,1,2,2,1,4,3,3
S1422,4,5,4,3,5,2,3,3
S1423,1,1,2,2,3,3,3,2
S1424,2,4,1,1,2,2,3,2
S1425,1,1,1,2,1,2,2,1
S1426,2,2,1,3,1,2,1,2
S1427,1,1,1,3,1,2,2,1
S1428,1,2,2,1,1,1,1,2
S1429,3,1,1,1,1,1,1,1
S1430,1,1,2,2,2,3,2,1
S1431,2,2,2,3,2,3,2,2
S1432,2,2,1,2,3,1,1,2
S1433,3,2,1,1,2,4,2,1
S1434,1,1,1,3,1,1,2,1
S1435,4,1,4,1,1,3,3,3
S1436,1,2,2,1,2,1,1,1
S1437,3,4,4,1,5,3,2,2
S1438,4,3,3,2,1,2,1,2
S1439,1,1,1,1,1,2,1,2
S1440,2,1,2,4,3,3,3,2
S1441,1,1,2,1,1,2,1,2
S1442,3,1,4,2,2,4,2,2
S1443,1,3,2,1,2,2,1,2
